metro_2006_07,metro_2007_08,metro_2008_09,metro_2009_10,metro_2010_11,metro_2011_12,metro_2012_13,metro_2013_14,metro_2014_15,metro_2015_16,metro_2016_17,metro_2017_18,metro_arts_abc_1988_89,metro_arts_abc_1989_90,metro_arts_abc_1990_91,metro_arts_abc_1991_92,metro_arts_abc_1992_93,metro_arts_abc_1993_94,metro_arts_abc_1994_95,metro_arts_abc_1995_96,metro_arts_abc_1996_97,metro_arts_abc_1997_98,metro_arts_abc_1998_99,metro_arts_abc_1999_00,metro_arts_abc_2000_01,metro_arts_abc_2001_02,metro_arts_abc_2002_03,metro_arts_abc_2003_04,metro_arts_abc_2004_05,metro_arts_abc_2005_06,organization,thrive_2014_15,thrive_2015_16,thrive_2016_17,thrive_2017_18,totals
186947,223687,193129,141000,135000,125500,120480,131000,127500,129000,148625,116700,20000,5000,4000,0,35000,40000,55000,65000,65000,65000,40000,50000,42000,54000,70240,125000,42807,195012,Country Music Foundation (DBA Country Music Hall of Fame and Museum),0,0,0,0,2751627
625,4807,2444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,3400,3250,5100,3000,10279,Creative Artists of Tennessee (CATS),0,0,0,0,35205
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cultural Arts Enrichment Program,0,0,0,3640,3640
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cumberland Garden Communitiy Mural,0,4000,0,0,4000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cumberland View Community Mural,4000,0,0,0,4000
0,0,0,0,0,0,0,0,0,0,0,0,10325,4000,3000,2000,2000,6000,0,0,0,0,0,0,0,0,0,0,0,0,Cumberland Science Museum,0,0,0,0,27325
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Curating a Public Self,0,4000,0,0,4000
0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dancing Through the Curriculum,0,0,0,0,6000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,Davidson County 4-H,0,0,0,0,1500
0,0,0,0,0,0,0,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Destellos,0,0,0,0,2080
