Organization,Metro Arts & ABC 1988-89,Metro Arts & ABC 1989-90,Metro Arts & ABC 1990-91,Metro Arts & ABC 1991-92,Metro Arts & ABC 1992-93,Metro Arts & ABC 1993-94,Metro Arts & ABC 1994-95,Metro Arts & ABC 1995-96,Metro Arts & ABC 1996-97,Metro Arts & ABC 1997-98,Metro Arts & ABC 1998-99,Metro Arts & ABC 1999-00,Metro Arts & ABC 2000-01,Metro Arts & ABC 2001-02,Metro Arts & ABC 2002-03,Metro Arts & ABC 2003-04,Metro Arts & ABC 2004-05,Metro Arts & ABC 2005-06,Metro 2006-07,Metro 2007-08,Metro 2008-09,Metro 2009-10,Metro 2010-11,Metro 2011-12,Metro 2012-13,Metro 2013-14,Metro 2014-15,THRIVE 2014-15,Metro 2015-16,THRIVE 2015-16,Metro 2016-17,THRIVE 2016-17,Metro 2017-18,THRIVE 2017-18,Totals
Nashville Ballet,25000,20000,20000,9000,26000,68000,80000,85000,88200,94500,121470,95785,85350,125150,132880,158500,118951,106925,81267,99366,71487,161000,135000,177500,151200,145500,127250,0,143000,0,147020,0,138000,0,3038301
Nashville Children's Theatre,5300,10000,10000,8500,13000,27000,40000,59000,56746,59887,54000,63667,66008,82300,107840,84480,97300,74821,68850,120947,104939,121300,111000,94500,95350,90500,87450,0,96305,0,107270,0,166600,0,2184860
Nashville Community Concerts,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
Nashville Cultural Arts Project,0,0,0,0,0,0,0,0,0,0,0,0,0,8822,2500,2000,7500,0,0,0,20000,2000,10300,2490,5050,3250,2242,0,8000,0,13070,0,0,0,87224
Sister Cities of Nashville,0,0,0,0,0,0,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500
Nashville Film Festival (formerly Sinking Creek Festival),0,1000,840,0,1100,2000,5500,14387,14300,29280,19840,25175,23795,31845,34110,28200,70233,50635,47862,53009,68654,61200,47800,62000,71200,65000,68132,0,65000,0,73920,0,107500,0,1143517
Nashville Gospel Ministry,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
Nashville in Harmony,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4600,7000,8086,11550,0,8818,0,0,0,0,0,14850,0,54904
Nashville Institute for the Arts,40000,25000,21000,10000,17000,60000,52500,60000,60000,70000,31200,69030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515730
Nashville Jazz Orchestra,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,7000,4600,4600,6500,5500,0,0,4050,0,5435,0,0,0,38685
Nashville Jazz Workshop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,14600,29360,20984,17839,19511,34853,39600,36200,42000,42000,40000,45620,0,49925,0,64725,0,74000,0,581217
Nashville Makes Zines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000
Nashville Opera Association,18000,10000,12000,8500,10000,30000,31000,34886,44000,54000,54500,87750,76000,127000,135800,144773,99278,154968,127852,188785,149033,151000,135000,124000,131540,126700,131950,0,110150,0,115700,0,117000,0,2741165
Nashville Philharmonic Orchestra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575,850,0,0,1700,0,0,0,3100,0,7225
Nashville Please Don't Litter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,4000
Nashville Public Library Foundation,0,0,2000,500,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500
Nashville Public Radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,3215,4240,0,0,0,0,0,0,0,0,0,0,0,0,0,9455
Nashville Public Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,25000,18638,0,20924,3476,24000,3500,3700,0,3800,0,0,3100,0,4750,0,5500,0,126388
Nashville Repertory Theatre (formerly Tennessee Repertory Theatre),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94905,0,88250,0,183155
Nashville Screenwriter's Conference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3412,0,0,0,0,0,0,0,0,0,0,0,0,0,3412
Nashville Shakespeare Festival,0,0,1500,1500,8000,12000,21300,26387,35500,38500,31061,27750,33882,40287,53720,31000,56594,30341,24847,26824,55263,33300,34600,42300,42000,39000,0,0,55000,0,74965,0,75700,0,953121
Nashville Singers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,1300
Nashville Swing Dance Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1000
Nashville Symphony,250000,165000,125000,110972,135000,200000,257500,275000,280000,290000,207000,300000,310000,400000,466900,500000,406088,408066,390691,398664,365182,156000,165000,162500,175150,139800,151750,0,126040,0,142405,0,156000,0,7615708
Nashville Talking Chairs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,8000
Nashville Theatre Works,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000
NashvilleREAD,0,0,0,0,0,0,0,0,3800,3012,4000,4653,3000,3000,2122,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25087
National Museum of African American Music,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3450,0,4400,0,0,0,76200,0,84050
Native American Indian Association of Tennessee,0,0,0,0,0,0,0,0,0,5260,5500,6000,4500,9810,10408,15000,20450,17878,0,3690,3476,4000,9700,6000,6000,3500,0,0,3400,0,0,0,6000,0,140572
New Dialect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,26600,0,29100
New Vision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8350,0,0,0,0,0,0,0,0,0,8350
"Next Door, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,4000
Norf Art Collective,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,4000,0,0,8000
Oasis Center,0,0,0,0,0,0,0,0,7000,0,0,0,0,5000,0,0,0,0,0,0,0,6100,0,0,0,6110,4250,0,3050,0,4250,0,0,0,35760
Old Hickory Village Centennial Celebration Time Capsule,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,4000
Old Time Music & Dance,0,0,4200,2400,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10600
Orchestra Nashville/Nashville Chamber Orchestra,0,0,0,4500,8000,12000,15000,13266,20000,20800,30768,34750,37751,56884,74915,62000,41610,43018,33755,81853,64899,0,0,0,0,0,0,0,0,0,0,0,0,0,655769
Outside the Box,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,4000
OZ Arts Nashville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10225,0,45000,0,55225
PENCIL Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2305,0,2845,0,0,0,5150
Peoples Branch Theatre,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,29919,17100,23600,25010,8458,9746,3576,12300,0,0,0,0,0,0,0,0,0,0,0,0,139709
Pikesproject (#Pikesproject),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,4000
Planned Parenthood of Middle Tennessee,0,2500,4000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9500
Plowhaus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4524,847,1000,0,0,0,0,0,0,0,0,0,0,0,0,6371
Porch Writers' Collective,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,14125,0,17725
Poverty and the Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,0,0,0,0,8600,0,11700
Pro Musica,5900,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7400
Project 24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,4000
Project Return,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4257,2630,5000,0,0,0,0,0,0,0,0,0,0,0,0,11887
Queens Among Us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,8000
Race Relations Institute,0,0,0,0,0,0,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500
Rediscover East!,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
Rejoice School of Ballet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,4500
Ridley Temple Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3365
Rocketown of Middle Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6500,0,6500
Room in the Inn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800,0,0,0,0,0,0,0,3800
Ruby Green Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,5125,5744,8500,6000,7333,6764,5688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45154
Salama Urban Ministries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,2200,0,0,0,4100,0,0,0,0,0,6500,0,16300
Salvation Army of Nashville,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
Sankofa African Drum and Dance Company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,4000
Saturday in the Arts Day Camp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,4000
Scarritt-Bennett Center,0,0,0,0,0,0,0,0,0,9988,12000,0,14201,25000,15756,12500,24750,0,0,0,0,1500,5000,0,0,0,0,0,0,0,0,0,0,0,120695
Senior Center for the Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8918,9247,16739,34968,14000,30500,29700,31000,19000,25200,0,25200,0,30680,0,0,0,275152
Sexual Assault Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,4500
Shelby Bottom String Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3050,0,0,0,0,0,0,3050
